condition,scenario,run_count,unitAttributionCount_mean,unitAttributionCount_stddev,unitAttributionCount_ci_lower,unitAttributionCount_ci_upper,degradedConflictCount_mean,degradedConflictCount_stddev,degradedConflictCount_ci_lower,degradedConflictCount_ci_upper,contradictionCount_mean,contradictionCount_stddev,contradictionCount_ci_lower,contradictionCount_ci_upper,factSurvivalRate_mean,factSurvivalRate_stddev,factSurvivalRate_ci_lower,factSurvivalRate_ci_upper,erosionRate_mean,erosionRate_stddev,erosionRate_ci_lower,erosionRate_ci_upper,driftAbsorptionRate_mean,driftAbsorptionRate_stddev,driftAbsorptionRate_ci_lower,driftAbsorptionRate_ci_upper,majorContradictionCount_mean,majorContradictionCount_stddev,majorContradictionCount_ci_lower,majorContradictionCount_ci_upper,meanTurnsToFirstDrift_mean,meanTurnsToFirstDrift_stddev,meanTurnsToFirstDrift_ci_lower,meanTurnsToFirstDrift_ci_upper
NO_LIFECYCLE,adversarial-displacement,10,5.0,0.0,5.0,5.0,0.4,1.2000000000000002,0.4,0.4,0.5,0.9219544457292888,-0.10234357120980198,1.102343571209802,92.0,13.2664991614216,83.33255388120456,100.66744611879544,5.0,15.0,-4.799999999999999,14.799999999999999,95.55555555555556,7.370277311900888,90.7403077117803,100.37080339933081,0.0,0.0,0.0,0.0,12.666666666666666,1.8856180831641267,10.053333333333333,15.28
NO_LIFECYCLE,adversarial-poisoned-player,10,5.0,0.0,5.0,5.0,1.1,2.4677925358506134,1.1,1.1,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_LIFECYCLE,balanced-campaign,10,4.9,0.3,4.704000000000001,5.096,1.5,3.0083217912982647,1.5,1.5,0.0,0.0,0.0,0.0,98.0,6.0,94.08,101.92,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_LIFECYCLE,compliance-fraud-review,10,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_LIFECYCLE,compliance-policy-adaptive,10,2.6,1.019803902718557,1.933728116890543,3.2662718831094573,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,-0.19200000000000006,0.5920000000000001,60.0,32.01562118716424,39.08312749105269,80.9168725089473,0.0,0.0,0.0,0.0,96.66666666666666,10.000000000000004,90.13333333333333,103.19999999999999,0.2,0.6000000000000001,-0.19200000000000006,0.5920000000000001,6.0,0.0,6.0,6.0
NO_LIFECYCLE,cursed-blade,10,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_LIFECYCLE,ops-incident-adaptive,10,3.8,0.39999999999999997,3.5386666666666664,4.061333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,10.0,88.46666666666667,101.53333333333333,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_LIFECYCLE,ops-incident-response,10,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_LIFECYCLE,trust-evaluation-basic,10,3.7,0.45825756949558405,3.4006050545962188,3.9993949454037816,0.5,1.5,0.5,0.5,0.0,0.0,0.0,0.0,92.5,11.4564392373896,85.01512636490546,99.98487363509454,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
NO_RANK_DIFFERENTIATION,adversarial-contradictory,10,4.8,0.39999999999999997,4.538666666666667,5.061333333333333,0.4,1.2000000000000002,0.4,0.4,0.9,1.445683229480096,-0.044513043260329344,1.8445130432603294,86.0,9.16515138991168,80.01210109192436,91.98789890807564,10.0,30.0,-9.599999999999998,29.599999999999998,91.0,14.45683229480096,81.55486956739671,100.44513043260329,0.5,1.2041594578792296,-0.28671751248109667,1.2867175124810966,8.2,3.249615361854384,5.0153769453827035,11.384623054617295
